gender	model
남자	A
남자	A
남자	B
남자	B
남자	A
남자	A
남자	C
남자	C
남자	A
남자	A
남자	C
남자	C
남자	A
남자	A
남자	C
남자	B
남자	A
남자	A
남자	A
남자	A
남자	B
남자	B
남자	A
남자	A
남자	A
남자	C
남자	B
남자	A
남자	C
남자	A
남자	C
남자	A
남자	B
남자	B
남자	C
남자	B
남자	C
남자	B
남자	A
남자	A
남자	A
남자	B
남자	C
남자	B
남자	C
남자	A
남자	B
남자	A
남자	A
남자	C
남자	B
남자	A
남자	B
남자	A
남자	B
남자	A
남자	A
남자	A
남자	C
남자	B
남자	A
남자	B
남자	C
남자	A
남자	C
남자	A
남자	C
남자	B
남자	B
남자	B
남자	A
남자	B
남자	C
남자	B
남자	A
남자	A
여자	A
여자	B
여자	B
여자	B
여자	B
여자	A
여자	B
여자	B
여자	C
여자	C
여자	B
여자	B
여자	A
여자	B
여자	B
여자	B
여자	A
여자	B
여자	B
여자	C
여자	C
여자	B
여자	A
여자	B
여자	C
여자	B
여자	A
여자	B
여자	B
여자	C
여자	A
여자	B
여자	C
여자	C
여자	B
여자	B
여자	A
여자	B
여자	A
여자	C
여자	B
여자	C
여자	B
여자	B
여자	C
여자	A
여자	B
여자	C
여자	B
여자	B
여자	B
여자	C
여자	B
여자	C
여자	A
여자	C
여자	C
여자	B
여자	A
여자	B
여자	C
여자	A
여자	A
여자	A
여자	C
여자	B
여자	A
여자	C
여자	C
여자	A
