Class,Survived,Group
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
1,Yes,남자
2,Yes,남자
2,Yes,남자
2,Yes,남자
2,Yes,남자
2,Yes,남자
2,Yes,남자
2,Yes,남자
2,Yes,남자
2,Yes,남자
2,Yes,남자
2,Yes,남자
2,Yes,남자
2,Yes,남자
2,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
3,Yes,남자
